SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,146 Riverside Dr,Dedham,MA,2026,555000,5,3,Dedham,1404,4000,1969,3,395,,Active,February-21-2021 01:00 PM,February-21-2021 02:30 PM,http://www.redfin.com/MA/Dedham/146-Riverside-Dr-02026/home/8844649,MLS PIN,72787457,N,Y,42.274786,-71.1766697
MLS Listing,,Condo/Co-op,890 Adams St #1,Boston,MA,2124,595000,3,2,Boston,1569,1569,1921,3,379,250,Active,,,http://www.redfin.com/MA/Boston/890-Adams-St-02124/unit-1/home/12431005,MLS PIN,72787215,N,Y,42.2808904,-71.0584721
MLS Listing,,Condo/Co-op,4044 Washington St #2,Boston,MA,2131,550000,2,2,Roslindale,1275,1275,2006,3,431,487,Active,February-21-2021 12:00 PM,February-21-2021 02:00 PM,http://www.redfin.com/MA/Boston/4044-Washington-St-02131/unit-2/home/21718789,MLS PIN,72787202,N,Y,42.2912997,-71.1223156
MLS Listing,,Condo/Co-op,43-45 Owencroft Rd #2,Boston,MA,2124,715000,4,2,Boston,2237,,1932,10,320,260,Active,February-21-2021 11:30 AM,February-21-2021 01:00 PM,http://www.redfin.com/MA/Boston/43-Owencroft-Rd-02124/unit-2/home/145286007,MLS PIN,72784772,N,Y,42.2807616,-71.0693044
MLS Listing,,Condo/Co-op,10 Enterprise St #2,Boston,MA,2125,740000,2,2,Dorchester,1209,,2018,10,612,301,Active,February-21-2021 12:30 PM,February-21-2021 02:30 PM,http://www.redfin.com/MA/Boston/10-Enterprise-St-02125/unit-2/home/144322095,MLS PIN,72784687,N,Y,42.3231012,-71.0615233
MLS Listing,,Condo/Co-op,14 W Broadway #802,Boston,MA,2127,829900,1,1,South Boston,1055,,2017,17,787,784,Active,,,http://www.redfin.com/MA/Boston/14-W-Broadway-02127/unit-802/home/171788304,MLS PIN,72782327,N,Y,42.3430101,-71.0567235
MLS Listing,,Condo/Co-op,146 Marlborough St #1,Boston,MA,2116,468000,0,1,Back Bay,486,486,1880,18,963,190,Active,February-21-2021 12:00 PM,February-21-2021 01:30 PM,http://www.redfin.com/MA/Boston/146-Marlborough-St-02116/unit-1/home/9250275,MLS PIN,72781786,N,Y,42.3527521,-71.0781483
MLS Listing,,Condo/Co-op,1 FRANKLIN St Ph 3A,Boston,MA,2110,12000000,3,4.5,Midtown,4172,,2016,20,2876,6270,Active,,,http://www.redfin.com/MA/Boston/1-Franklin-St-02108/unit-3A/home/145254722,MLS PIN,72781115,N,Y,42.3557832,-71.059176
MLS Listing,,Condo/Co-op,2 Hawthorne Pl Unit 15R,Boston,MA,2114,609999,1,1,Boston,941,847,1967,47,648,888,Active,,,http://www.redfin.com/MA/Boston/2-Hawthorne-Pl-02114/unit-15R/home/9275127,MLS PIN,72771358,N,Y,42.3637057,-71.0662122
MLS Listing,,Condo/Co-op,12 Stoneholm St #518,Boston,MA,2115,455000,1,1,Boston,375,375,2006,72,1213,535,Active,February-21-2021 02:30 PM,February-21-2021 04:00 PM,http://www.redfin.com/MA/Boston/12-Stoneholm-St-02115/unit-518/home/12439926,MLS PIN,72766305,N,Y,42.3458257,-71.0886264
